,birthArea,birthDate,currentNationalTeamId,currentTeamId,firstName,foot,height,lastName,middleName,passportArea,role,shortName,weight,wyId
1061,"{'name': 'Korea Republic', 'id': '410', 'alpha3code': 'KOR', 'alpha2code': 'KR'}",1992-07-08,14855,1624,Heung-Min,right,183,Son,,"{'name': 'Korea Republic', 'id': '410', 'alpha3code': 'KOR', 'alpha2code': 'KR'}","{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",Son Heung-Min,77,14911
1062,"{'name': 'Switzerland', 'id': '756', 'alpha3code': 'CHE', 'alpha2code': 'CH'}",1983-09-08,null,19830,Diego,right,194,Benaglio,,"{'name': 'Italy', 'id': '380', 'alpha3code': 'ITA', 'alpha2code': 'IT'}","{'code2': 'GK', 'code3': 'GKP', 'name': 'Goalkeeper'}",D. Benaglio,89,14913
1063,"{'name': 'Switzerland', 'id': '756', 'alpha3code': 'CHE', 'alpha2code': 'CH'}",1987-09-18,null,2481,Marwin,right,193,Hitz,,"{'name': 'Switzerland', 'id': '756', 'alpha3code': 'CHE', 'alpha2code': 'CH'}","{'code2': 'GK', 'code3': 'GKP', 'name': 'Goalkeeper'}",M. Hitz,86,14914
1064,"{'name': 'Germany', 'id': '276', 'alpha3code': 'DEU', 'alpha2code': 'DE'}",1992-05-22,null,2451,Robin,right,190,Knoche,,"{'name': 'Germany', 'id': '276', 'alpha3code': 'DEU', 'alpha2code': 'DE'}","{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",R. Knoche,77,14917
1065,"{'name': 'Switzerland', 'id': '756', 'alpha3code': 'CHE', 'alpha2code': 'CH'}",1992-08-25,6697,3157,Ricardo Iv\u00e1n,left,180,Rodr\u00edguez Araya,,"{'name': 'Chile', 'id': '152', 'alpha3code': 'CHL', 'alpha2code': 'CL'}","{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",R. Rodr\u00edguez,77,14922
1066,"{'name': 'Germany', 'id': '276', 'alpha3code': 'DEU', 'alpha2code': 'DE'}",1985-08-04,null,2462,Marco,right,190,Russ,,"{'name': 'Germany', 'id': '276', 'alpha3code': 'DEU', 'alpha2code': 'DE'}","{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",M. Russ,88,14923
1067,"{'name': 'Japan', 'id': '392', 'alpha3code': 'JPN', 'alpha2code': 'JP'}",1984-01-18,12913,2462,Makoto,right,180,Hasebe,,"{'name': 'Japan', 'id': '392', 'alpha3code': 'JPN', 'alpha2code': 'JP'}","{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",M. Hasebe,72,14929
1068,"{'name': 'Germany', 'id': '276', 'alpha3code': 'DEU', 'alpha2code': 'DE'}",1994-05-27,null,2451,Maximilian,left,184,Arnold,,"{'name': 'Germany', 'id': '276', 'alpha3code': 'DEU', 'alpha2code': 'DE'}","{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",M. Arnold,74,14938
1069,"{'name': 'Portugal', 'id': '620', 'alpha3code': 'PRT', 'alpha2code': 'PT'}",1986-01-24,null,12510,Adelino Andr\u00e9 ,right,172,Vieira Freitas,,"{'name': 'Portugal', 'id': '620', 'alpha3code': 'PRT', 'alpha2code': 'PT'}","{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",Vieirinha,70,14940
1070,"{'name': 'Croatia', 'id': '191', 'alpha3code': 'HRV', 'alpha2code': 'HR'}",1986-01-14,9598,3159,Mario,right,187,Mand\u017euki\u0107,,"{'name': 'Croatia', 'id': '191', 'alpha3code': 'HRV', 'alpha2code': 'HR'}","{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",M. Mand\u017euki\u0107,84,14943
1071,"{'name': 'France', 'id': '250', 'alpha3code': 'FRA', 'alpha2code': 'FR'}",1989-03-31,null,3787,Giovanni-Guy Yann,left,180,Sio,,"{'name': ""C\\u00f4te d'Ivoire"", 'id': '384', 'alpha3code': 'CIV', 'alpha2code': 'CI'}","{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",G. Sio,80,14945
1072,"{'name': 'Colombia', 'id': '170', 'alpha3code': 'COL', 'alpha2code': 'CO'}",1997-11-02,12436,3173,Damir,right,187,Ceter Valencia,,"{'name': 'Colombia', 'id': '170', 'alpha3code': 'COL', 'alpha2code': 'CO'}","{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",D. Ceter,84,335634
1073,"{'name': 'South Africa', 'id': '710', 'alpha3code': 'ZAF', 'alpha2code': 'ZA'}",1993-01-22,16424,3787,Keagan,left,170,Dolly,,"{'name': 'South Africa', 'id': '710', 'alpha3code': 'ZAF', 'alpha2code': 'ZA'}","{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",K. Dolly,70,244335
1074,"{'name': 'Germany', 'id': '276', 'alpha3code': 'DEU', 'alpha2code': 'DE'}",1990-06-02,null,2482,Oliver,right,187,Baumann,,"{'name': 'Germany', 'id': '276', 'alpha3code': 'DEU', 'alpha2code': 'DE'}","{'code2': 'GK', 'code3': 'GKP', 'name': 'Goalkeeper'}",O. Baumann,82,14979
1075,"{'name': 'South Africa', 'id': '710', 'alpha3code': 'ZAF', 'alpha2code': 'ZA'}",1992-10-09,16424,3789,Bongani,right,184,Zungu,,"{'name': 'South Africa', 'id': '710', 'alpha3code': 'ZAF', 'alpha2code': 'ZA'}","{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",B. Zungu,76,244357
1076,"{'name': 'Germany', 'id': '276', 'alpha3code': 'DEU', 'alpha2code': 'DE'}",1990-05-29,null,2455,Oliver,right,175,Sorg,,"{'name': 'Germany', 'id': '276', 'alpha3code': 'DEU', 'alpha2code': 'DE'}","{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",O. Sorg,69,14988
1077,"{'name': 'Germany', 'id': '276', 'alpha3code': 'DEU', 'alpha2code': 'DE'}",1988-01-15,null,2449,Daniel,right,182,Caligiuri,,"{'name': 'Italy', 'id': '380', 'alpha3code': 'ITA', 'alpha2code': 'IT'}","{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",D. Caligiuri,80,14989
1078,"{'name': 'Senegal', 'id': '686', 'alpha3code': 'SEN', 'alpha2code': 'SN'}",1989-08-14,null,3777,Fallou,right,185,Diagne,,"{'name': 'France', 'id': '250', 'alpha3code': 'FRA', 'alpha2code': 'FR'}","{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",F. Diagne,78,14990
1079,"{'name': 'Germany', 'id': '276', 'alpha3code': 'DEU', 'alpha2code': 'DE'}",1994-01-19,3148,2454,Matthias,right,191,Ginter,,"{'name': 'Germany', 'id': '276', 'alpha3code': 'DEU', 'alpha2code': 'DE'}","{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",M. Ginter,89,14991
1080,"{'name': 'Togo', 'id': '764', 'alpha3code': 'TGO', 'alpha2code': 'TG'}",1985-01-07,null,2453,Karim,right,184,Gu\u00e9d\u00e9,,"{'name': 'Slovakia', 'id': '703', 'alpha3code': 'SVK', 'alpha2code': 'SK'}","{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",K. Gu\u00e9d\u00e9,87,14992
1081,"{'name': 'Slovakia', 'id': '703', 'alpha3code': 'SVK', 'alpha2code': 'SK'}",1984-12-15,14496,4487,Martin,right,191,\u0160krtel,,"{'name': 'Slovakia', 'id': '703', 'alpha3code': 'SVK', 'alpha2code': 'SK'}","{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",M. \u0160krtel,81,7960
1082,"{'name': 'France', 'id': '250', 'alpha3code': 'FRA', 'alpha2code': 'FR'}",1990-06-26,null,2481,Jonathan,right,179,Schmid,,"{'name': 'Austria', 'id': '40', 'alpha3code': 'AUT', 'alpha2code': 'AT'}","{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",J. Schmid,79,14997
1083,"{'name': 'Germany', 'id': '276', 'alpha3code': 'DEU', 'alpha2code': 'DE'}",1985-04-15,null,,Julian,right,189,Schuster,,"{'name': 'Germany', 'id': '276', 'alpha3code': 'DEU', 'alpha2code': 'DE'}","{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",J. Schuster,80,14998
1084,"{'name': 'Croatia', 'id': '191', 'alpha3code': 'HRV', 'alpha2code': 'HR'}",1989-05-21,null,3783,Ivan,right,190,Santini,,"{'name': 'Croatia', 'id': '191', 'alpha3code': 'HRV', 'alpha2code': 'HR'}","{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",I. Santini,90,15004
1085,"{'name': 'Germany', 'id': '276', 'alpha3code': 'DEU', 'alpha2code': 'DE'}",1992-04-30,3148,676,Marc-Andr\u00e9,right,187,ter Stegen,,"{'name': 'Germany', 'id': '276', 'alpha3code': 'DEU', 'alpha2code': 'DE'}","{'code2': 'GK', 'code3': 'GKP', 'name': 'Goalkeeper'}",M. ter Stegen,85,15008
1086,"{'name': 'Brazil', 'id': '76', 'alpha3code': 'BRA', 'alpha2code': 'BR'}",1983-10-18,null,3775,Dante Bonfim,left,188,da Costa Santos,,"{'name': 'Brazil', 'id': '76', 'alpha3code': 'BRA', 'alpha2code': 'BR'}","{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",Dante,89,15010
1087,"{'name': 'Norway', 'id': '578', 'alpha3code': 'NOR', 'alpha2code': 'NO'}",1990-06-21,7336,2482,H\u00e5vard,right,188,Nordtveit,,"{'name': 'Norway', 'id': '578', 'alpha3code': 'NOR', 'alpha2code': 'NO'}","{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",H. Nordtveit,83,15012
1088,"{'name': 'Sweden', 'id': '752', 'alpha3code': 'SWE', 'alpha2code': 'SE'}",1985-10-24,null,2454,Oscar,left,181,Wendt,,"{'name': 'Sweden', 'id': '752', 'alpha3code': 'SWE', 'alpha2code': 'SE'}","{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",O. Wendt,82,15014
1089,"{'name': 'Germany', 'id': '276', 'alpha3code': 'DEU', 'alpha2code': 'DE'}",1992-06-16,null,2445,Matthias,right,177,Zimmermann,,"{'name': 'Germany', 'id': '276', 'alpha3code': 'DEU', 'alpha2code': 'DE'}","{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",M. Zimmermann,76,15015
1090,"{'name': 'Germany', 'id': '276', 'alpha3code': 'DEU', 'alpha2code': 'DE'}",1990-04-07,null,2454,Tony,right,177,Jantschke,,"{'name': 'Germany', 'id': '276', 'alpha3code': 'DEU', 'alpha2code': 'DE'}","{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",T. Jantschke,76,15019
1091,"{'name': 'Australia', 'id': '36', 'alpha3code': 'AUS', 'alpha2code': 'AU'}",1991-02-04,8493,2457,Mathew,right,181,Leckie,,"{'name': 'Australia', 'id': '36', 'alpha3code': 'AUS', 'alpha2code': 'AU'}","{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",M. Leckie,82,15020
1092,"{'name': 'Russia', 'id': '643', 'alpha3code': 'RUS', 'alpha2code': 'RU'}",1988-02-18,null,4487,Roman Petrovich,right,188,Neust\u00e4dter,,"{'name': 'Germany', 'id': '276', 'alpha3code': 'DEU', 'alpha2code': 'DE'}","{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",R. Neust\u00e4dter,83,15022
1093,"{'name': 'Germany', 'id': '276', 'alpha3code': 'DEU', 'alpha2code': 'DE'}",1989-05-31,3148,2447,Marco,right,180,Reus,,"{'name': 'Germany', 'id': '276', 'alpha3code': 'DEU', 'alpha2code': 'DE'}","{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",M. Reus,71,15024
1094,"{'name': 'Germany', 'id': '276', 'alpha3code': 'DEU', 'alpha2code': 'DE'}",1989-02-12,null,2445,Ron-Robert,right,188,Zieler,,"{'name': 'Germany', 'id': '276', 'alpha3code': 'DEU', 'alpha2code': 'DE'}","{'code2': 'GK', 'code3': 'GKP', 'name': 'Goalkeeper'}",R. Zieler,81,15032
1095,"{'name': 'Russia', 'id': '643', 'alpha3code': 'RUS', 'alpha2code': 'RU'}",1990-03-15,null,13889,Konstantin,left,182,Rausch,,"{'name': 'Germany', 'id': '276', 'alpha3code': 'DEU', 'alpha2code': 'DE'}","{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",K. Rausch,78,15039
1096,"{'name': 'Germany', 'id': '276', 'alpha3code': 'DEU', 'alpha2code': 'DE'}",1988-12-05,null,2455,Manuel,right,171,Schmiedebach,,"{'name': 'Germany', 'id': '276', 'alpha3code': 'DEU', 'alpha2code': 'DE'}","{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",M. Schmiedebach,70,15050
1097,"{'name': 'Germany', 'id': '276', 'alpha3code': 'DEU', 'alpha2code': 'DE'}",1988-08-26,null,2454,Lars,right,181,Stindl,,"{'name': 'Germany', 'id': '276', 'alpha3code': 'DEU', 'alpha2code': 'DE'}","{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",L. Stindl,80,15051
1098,"{'name': 'Senegal', 'id': '686', 'alpha3code': 'SEN', 'alpha2code': 'SN'}",1987-12-16,19314,1639,Mame Biram,right,185,Diouf,,"{'name': 'Senegal', 'id': '686', 'alpha3code': 'SEN', 'alpha2code': 'SN'}","{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",M. Diouf,79,15054
1099,"{'name': 'Germany', 'id': '276', 'alpha3code': 'DEU', 'alpha2code': 'DE'}",1988-03-22,null,2454,Tobias,right,183,Sippel,,"{'name': 'Germany', 'id': '276', 'alpha3code': 'DEU', 'alpha2code': 'DE'}","{'code2': 'GK', 'code3': 'GKP', 'name': 'Goalkeeper'}",T. Sippel,78,15061
1100,"{'name': 'Germany', 'id': '276', 'alpha3code': 'DEU', 'alpha2code': 'DE'}",1990-07-08,3148,3767,Kevin,right,189,Trapp,,"{'name': 'Germany', 'id': '276', 'alpha3code': 'DEU', 'alpha2code': 'DE'}","{'code2': 'GK', 'code3': 'GKP', 'name': 'Goalkeeper'}",K. Trapp,88,15062
1101,"{'name': 'France', 'id': '250', 'alpha3code': 'FRA', 'alpha2code': 'FR'}",1997-04-29,4425,3766,Lucas,right,185,Tousart,,"{'name': 'France', 'id': '250', 'alpha3code': 'FRA', 'alpha2code': 'FR'}","{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",L. Tousart,83,342743
1102,"{'name': 'Peru', 'id': '604', 'alpha3code': 'PER', 'alpha2code': 'PE'}",1995-07-28,15594,12,Renato Fabrizio,right,182,Tapia Cortijo,,"{'name': 'Peru', 'id': '604', 'alpha3code': 'PER', 'alpha2code': 'PE'}","{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",R. Tapia,78,139075
1103,"{'name': 'Germany', 'id': '276', 'alpha3code': 'DEU', 'alpha2code': 'DE'}",1992-11-03,null,2975,Willi,right,186,Orban,,"{'name': 'Hungary', 'id': '348', 'alpha3code': 'HUN', 'alpha2code': 'HU'}","{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",W. Orban,82,15069
1104,"{'name': 'Germany', 'id': '276', 'alpha3code': 'DEU', 'alpha2code': 'DE'}",1987-05-26,null,4488,Olcay,right,179,\u015eahan,,"{'name': 'Turkey', 'id': '792', 'alpha3code': 'TUR', 'alpha2code': 'TR'}","{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",O. \u015eahan,71,15076
1105,"{'name': 'Denmark', 'id': '208', 'alpha3code': 'DNK', 'alpha2code': 'DK'}",1991-01-15,7712,12,Nicolai,right,190,J\u00f8rgensen,,"{'name': 'Denmark', 'id': '208', 'alpha3code': 'DNK', 'alpha2code': 'DK'}","{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",N. J\u00f8rgensen,84,15080
1106,"{'name': 'Germany', 'id': '276', 'alpha3code': 'DEU', 'alpha2code': 'DE'}",1987-11-29,null,2444,Sandro,right,194,Wagner,,"{'name': 'Germany', 'id': '276', 'alpha3code': 'DEU', 'alpha2code': 'DE'}","{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",S. Wagner,92,15085
1107,"{'name': 'Germany', 'id': '276', 'alpha3code': 'DEU', 'alpha2code': 'DE'}",1988-07-22,null,2457,Thomas,right,187,Kraft,,"{'name': 'Germany', 'id': '276', 'alpha3code': 'DEU', 'alpha2code': 'DE'}","{'code2': 'GK', 'code3': 'GKP', 'name': 'Goalkeeper'}",T. Kraft,78,15090
1108,"{'name': 'Germany', 'id': '276', 'alpha3code': 'DEU', 'alpha2code': 'DE'}",1985-02-14,null,2481,Christoph,right,185,Janker,,"{'name': 'Germany', 'id': '276', 'alpha3code': 'DEU', 'alpha2code': 'DE'}","{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",C. Janker,78,15095
1109,"{'name': 'Switzerland', 'id': '756', 'alpha3code': 'CHE', 'alpha2code': 'CH'}",1988-05-02,null,2457,Fabian,right,180,Lustenberger,,"{'name': 'Switzerland', 'id': '756', 'alpha3code': 'CHE', 'alpha2code': 'CH'}","{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",F. Lustenberger,70,15103
1110,"{'name': 'Brazil', 'id': '76', 'alpha3code': 'BRA', 'alpha2code': 'BR'}",1985-03-28,null,2454,Raffael,right,174,Caetano de Ara\u00fajo,,"{'name': 'Brazil', 'id': '76', 'alpha3code': 'BRA', 'alpha2code': 'BR'}","{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",Raffael,69,15107
1111,"{'name': 'Germany', 'id': '276', 'alpha3code': 'DEU', 'alpha2code': 'DE'}",1987-03-04,null,,Dominik,right,186,Maroh,,"{'name': 'Slovenia', 'id': '705', 'alpha3code': 'SVN', 'alpha2code': 'SI'}","{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",D. Maroh,85,15122
1112,"{'name': 'Germany', 'id': '276', 'alpha3code': 'DEU', 'alpha2code': 'DE'}",1992-01-26,3148,2457,Marvin,left,181,Plattenhardt,,"{'name': 'Germany', 'id': '276', 'alpha3code': 'DEU', 'alpha2code': 'DE'}","{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",M. Plattenhardt,76,15125
1113,"{'name': 'Germany', 'id': '276', 'alpha3code': 'DEU', 'alpha2code': 'DE'}",1989-03-06,null,,Philipp,right,194,Wollscheid,,"{'name': 'Germany', 'id': '276', 'alpha3code': 'DEU', 'alpha2code': 'DE'}","{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",P. Wollscheid,88,15126
1114,"{'name': 'Germany', 'id': '276', 'alpha3code': 'DEU', 'alpha2code': 'DE'}",1990-02-21,null,2451,Daniel,left,180,Didavi,,"{'name': 'Germany', 'id': '276', 'alpha3code': 'DEU', 'alpha2code': 'DE'}","{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",D. Didavi,78,15129
1115,"{'name': 'Germany', 'id': '276', 'alpha3code': 'DEU', 'alpha2code': 'DE'}",1986-10-14,null,2453,Mike,right,182,Frantz,,"{'name': 'Germany', 'id': '276', 'alpha3code': 'DEU', 'alpha2code': 'DE'}","{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",M. Frantz,80,15131
1116,"{'name': 'Germany', 'id': '276', 'alpha3code': 'DEU', 'alpha2code': 'DE'}",1990-03-29,null,2462,Timothy,right,186,Chandler,,"{'name': 'United States', 'id': '840', 'alpha3code': 'USA', 'alpha2code': 'US'}","{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",T. Chandler,84,15139
1117,"{'name': 'Germany', 'id': '276', 'alpha3code': 'DEU', 'alpha2code': 'DE'}",1990-03-25,null,2457,Alexander,right,183,Esswein,,"{'name': 'Germany', 'id': '276', 'alpha3code': 'DEU', 'alpha2code': 'DE'}","{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",A. Esswein,85,15141
1118,"{'name': 'Slovakia', 'id': '703', 'alpha3code': 'SVK', 'alpha2code': 'SK'}",1991-03-08,14496,12510,R\u00f3bert,right,179,Mak,,"{'name': 'Slovakia', 'id': '703', 'alpha3code': 'SVK', 'alpha2code': 'SK'}","{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",R. Mak,78,15142
1119,"{'name': 'Germany', 'id': '276', 'alpha3code': 'DEU', 'alpha2code': 'DE'}",1991-08-24,null,2460,Stefan,right,192,Bell,,"{'name': 'Germany', 'id': '276', 'alpha3code': 'DEU', 'alpha2code': 'DE'}","{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",S. Bell,86,15178
1120,"{'name': 'Germany', 'id': '276', 'alpha3code': 'DEU', 'alpha2code': 'DE'}",1986-10-24,null,2460,Niko,right,188,Bungert,,"{'name': 'Germany', 'id': '276', 'alpha3code': 'DEU', 'alpha2code': 'DE'}","{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",N. Bungert,75,15179
1121,"{'name': 'Austria', 'id': '40', 'alpha3code': 'AUT', 'alpha2code': 'AT'}",1988-01-02,9109,2446,Julian,right,183,Baumgartlinger,,"{'name': 'Austria', 'id': '40', 'alpha3code': 'AUT', 'alpha2code': 'AT'}","{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",J. Baumgartlinger,82,15188
1122,"{'name': 'Germany', 'id': '276', 'alpha3code': 'DEU', 'alpha2code': 'DE'}",1992-02-24,4687,2451,Yunus,right,179,Mall\u0131,,"{'name': 'Turkey', 'id': '792', 'alpha3code': 'TUR', 'alpha2code': 'TR'}","{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",Y. Mall\u0131,72,15191
1123,"{'name': 'Germany', 'id': '276', 'alpha3code': 'DEU', 'alpha2code': 'DE'}",1987-09-25,null,2450,Nicolai,right,173,M\u00fcller,,"{'name': 'Germany', 'id': '276', 'alpha3code': 'DEU', 'alpha2code': 'DE'}","{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",N. M\u00fcller,66,15192
1124,"{'name': 'Poland', 'id': '616', 'alpha3code': 'POL', 'alpha2code': 'PL'}",1986-03-17,null,,Eugen,right,183,Polanski,,"{'name': 'Germany', 'id': '276', 'alpha3code': 'DEU', 'alpha2code': 'DE'}","{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",E. Polanski,78,15193
1125,"{'name': 'Germany', 'id': '276', 'alpha3code': 'DEU', 'alpha2code': 'DE'}",1989-12-17,null,2463,Marcel,right,183,Risse,,"{'name': 'Germany', 'id': '276', 'alpha3code': 'DEU', 'alpha2code': 'DE'}","{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",M. Risse,75,15194
1126,"{'name': 'Switzerland', 'id': '756', 'alpha3code': 'CHE', 'alpha2code': 'CH'}",1989-11-24,6697,9417,Mario,right,175,Gavranovi\u0107,,"{'name': 'Croatia', 'id': '191', 'alpha3code': 'HRV', 'alpha2code': 'HR'}","{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",M. Gavranovi\u0107,73,15199
1127,"{'name': 'Hungary', 'id': '348', 'alpha3code': 'HUN', 'alpha2code': 'HU'}",1987-12-09,null,2482,\u00c1d\u00e1m,right,193,Szalai,,"{'name': 'Hungary', 'id': '348', 'alpha3code': 'HUN', 'alpha2code': 'HU'}","{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",\u00c1. Szalai,90,15200
1128,"{'name': 'Nigeria', 'id': '566', 'alpha3code': 'NGA', 'alpha2code': 'NG'}",1990-10-14,null,2460,Anthony,right,183,Ujah,,"{'name': 'Nigeria', 'id': '566', 'alpha3code': 'NGA', 'alpha2code': 'NG'}","{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",A. Ujah,75,15201
1129,"{'name': 'Serbia', 'id': '688', 'alpha3code': 'SRB', 'alpha2code': 'RS'}",1984-01-26,17322,11042,Antonio,right,176,Rukavina,,"{'name': 'Serbia', 'id': '688', 'alpha3code': 'SRB', 'alpha2code': 'RS'}","{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",A. Rukavina,71,15214
1130,"{'name': 'Germany', 'id': '276', 'alpha3code': 'DEU', 'alpha2code': 'DE'}",1993-09-18,null,2455,Sebastian,right,179,Maier,,"{'name': 'Germany', 'id': '276', 'alpha3code': 'DEU', 'alpha2code': 'DE'}","{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",S. Maier,68,15225
1131,"{'name': 'Brazil', 'id': '76', 'alpha3code': 'BRA', 'alpha2code': 'BR'}",1993-05-19,null,3172,Jo\u00e3o Felipe,left,184,Schmidt Urbano,,"{'name': 'Brazil', 'id': '76', 'alpha3code': 'BRA', 'alpha2code': 'BR'}","{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",Jo\u00e3o Schmidt,82,40767
1132,"{'name': 'Germany', 'id': '276', 'alpha3code': 'DEU', 'alpha2code': 'DE'}",1992-07-30,null,2446,Kevin,left,179,Volland,,"{'name': 'Germany', 'id': '276', 'alpha3code': 'DEU', 'alpha2code': 'DE'}","{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",K. Volland,81,15231
1133,"{'name': 'United States', 'id': '840', 'alpha3code': 'USA', 'alpha2code': 'US'}",1992-11-15,8134,2450,Bobby Shou,right,180,Wood,,"{'name': 'United States', 'id': '840', 'alpha3code': 'USA', 'alpha2code': 'US'}","{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",B. Wood,79,15232
1134,"{'name': 'Germany', 'id': '276', 'alpha3code': 'DEU', 'alpha2code': 'DE'}",1986-01-20,null,2463,Thomas,right,197,Kessler,,"{'name': 'Germany', 'id': '276', 'alpha3code': 'DEU', 'alpha2code': 'DE'}","{'code2': 'GK', 'code3': 'GKP', 'name': 'Goalkeeper'}",T. Kessler,92,15235
1135,"{'name': 'Germany', 'id': '276', 'alpha3code': 'DEU', 'alpha2code': 'DE'}",1990-06-22,null,2451,Sebastian,right,179,Jung,,"{'name': 'Germany', 'id': '276', 'alpha3code': 'DEU', 'alpha2code': 'DE'}","{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",S. Jung,72,15244
1136,"{'name': 'Portugal', 'id': '620', 'alpha3code': 'PRT', 'alpha2code': 'PT'}",1994-04-25,null,674,R\u00faben Miguel,right,182,Nunes Vezo,,"{'name': 'Cape Verde Islands', 'id': '132', 'alpha3code': 'CPV', 'alpha2code': 'CV'}","{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",R\u00faben Vezo,80,211853
1137,"{'name': 'Germany', 'id': '276', 'alpha3code': 'DEU', 'alpha2code': 'DE'}",1983-05-28,null,2463,Matthias,right,179,Lehmann,,"{'name': 'Germany', 'id': '276', 'alpha3code': 'DEU', 'alpha2code': 'DE'}","{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",M. Lehmann,75,15253
1138,"{'name': 'Germany', 'id': '276', 'alpha3code': 'DEU', 'alpha2code': 'DE'}",1983-01-17,null,,Alexander,right,196,Meier,,"{'name': 'Germany', 'id': '276', 'alpha3code': 'DEU', 'alpha2code': 'DE'}","{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",A. Meier,96,15254
1139,"{'name': 'Switzerland', 'id': '756', 'alpha3code': 'CHE', 'alpha2code': 'CH'}",1987-03-09,null,2455,Pirmin,right,178,Schwegler,,"{'name': 'Switzerland', 'id': '756', 'alpha3code': 'CHE', 'alpha2code': 'CH'}","{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",P. Schwegler,74,15256
1140,"{'name': 'Germany', 'id': '276', 'alpha3code': 'DEU', 'alpha2code': 'DE'}",1993-05-12,null,2463,Timo,left,192,Horn,,"{'name': 'Germany', 'id': '276', 'alpha3code': 'DEU', 'alpha2code': 'DE'}","{'code2': 'GK', 'code3': 'GKP', 'name': 'Goalkeeper'}",T. Horn,90,15265
